epoch,train_loss,train_acc,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_eer,val_loss
1,0.21626,0.85207,0.89824,0.98224,0.88763,0.93254,0.97261,0.08762,0.23262
2,0.15111,0.89203,0.84811,0.9948,0.81256,0.89449,0.98186,0.06709,0.28651
3,0.1308,0.91794,0.8612,0.98663,0.83617,0.90519,0.97987,0.08715,0.31644
4,0.11162,0.9323,0.92069,0.99276,0.90652,0.94768,0.98827,0.0537,0.17629
5,0.10813,0.93501,0.94538,0.99448,0.93626,0.96449,0.99141,0.04287,0.12517
6,0.09264,0.9488,0.95473,0.98922,0.95326,0.97091,0.99088,0.04263,0.12297
7,0.08652,0.94848,0.88178,0.99615,0.85411,0.91967,0.98802,0.05578,0.21372
8,0.07233,0.95893,0.96596,0.98938,0.96742,0.97828,0.99389,0.0369,0.11395
9,0.0597,0.96874,0.94014,0.99645,0.92776,0.96088,0.99454,0.03251,0.16455
10,0.05046,0.97233,0.98129,0.99332,0.983,0.98813,0.99566,0.02191,0.07086
11,0.04227,0.97727,0.98354,0.991,0.9882,0.9896,0.99642,0.02006,0.08177
12,0.04134,0.9799,0.9798,0.9919,0.98253,0.98719,0.99576,0.02721,0.07512
13,0.0366,0.98102,0.97531,0.99517,0.97356,0.98425,0.9966,0.02191,0.08694
14,0.03707,0.9819,0.98242,0.99286,0.98489,0.98886,0.99749,0.01618,0.06151
15,0.02575,0.98796,0.98466,0.99618,0.98442,0.99026,0.99761,0.01382,0.05389
16,0.02796,0.98644,0.98878,0.99526,0.99056,0.9929,0.99838,0.01661,0.05695
17,0.02444,0.98939,0.97232,0.9862,0.97875,0.98246,0.99552,0.03459,0.08687
18,0.02823,0.98612,0.96259,0.99268,0.95987,0.976,0.996,0.02858,0.10541
19,0.02294,0.98804,0.98578,0.99336,0.98867,0.99101,0.99795,0.01963,0.05918
20,0.0206,0.99043,0.96596,0.99511,0.96176,0.97815,0.99712,0.02352,0.08825
21,0.01398,0.99306,0.99027,0.99386,0.99386,0.99386,0.99721,0.00923,0.04303
22,0.01266,0.99418,0.97045,0.99418,0.96837,0.9811,0.99465,0.02068,0.09241
23,0.02371,0.98923,0.98803,0.99152,0.99339,0.99245,0.99641,0.01982,0.0907
24,0.02227,0.98876,0.99027,0.9948,0.99292,0.99386,0.99799,0.01292,0.04761
25,0.01285,0.99386,0.98466,0.99429,0.98631,0.99028,0.99817,0.01476,0.06885
26,0.01093,0.99474,0.98765,0.98921,0.99528,0.99223,0.99578,0.0159,0.107
27,0.01126,0.9949,0.98541,0.99571,0.98584,0.99075,0.99769,0.01613,0.0595
28,0.00557,0.99737,0.99177,0.99527,0.99433,0.9948,0.9981,0.01429,0.0625
29,0.00988,0.99474,0.99065,0.99433,0.99386,0.9941,0.99818,0.01429,0.05343
30,0.00645,0.99713,0.9914,0.99387,0.99528,0.99457,0.9988,0.01292,0.05273
31,0.00945,0.99585,0.99065,0.9934,0.99481,0.9941,0.99607,0.01405,0.06623
